"STATION","NAME","DATE","TMAX","TMIN"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-22","46","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-23","45","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-24","41","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-25","40","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-26","39","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-27","40","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-02-28","47","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-01","41","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-02","39","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-03","35","27"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-04","37","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-05","40","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-06","38","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-07","38","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-08","41","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-09","42","21"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-10","43","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-11","42","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-12","39","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-13","41","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-14","50","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-15","49","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-16","53","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-17","47","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-18","50","41"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-19","55","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-20","50","41"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-21","51","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-22","47","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-23","43","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-24","43","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-25","47","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-26","44","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-27","44","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-28","50","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-29","50","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-30","45","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-03-31","42","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-01","46","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-02","48","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-03","49","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-04","47","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-05","44","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-06","45","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-07","42","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-08","43","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-09","47","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-10","48","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-11","46","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-12","49","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-13","56","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-14","58","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-15","56","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-16","60","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-17","57","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-18","52","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-19","53","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-20","55","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-21","55","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-22","55","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-23","53","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-24","54","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-25","48","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-26","49","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-27","50","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-28","52","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-29","54","41"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-04-30","61","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-01","62","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-02","68","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-03","69","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-04","72","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-05","68","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-06","67","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-07","71","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-08","60","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-09","54","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-10","60","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-11","65","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-12","65","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-13","63","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-14","62","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-15","64","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-16","60","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-17","68","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-18","62","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-19","61","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-20","54","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-21","57","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-22","62","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-23","69","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-24","65","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-25","65","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-26","68","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-27","64","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-28","62","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-29","64","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-30","67","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-05-31","65","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-01","72","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-02","74","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-03","67","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-04","70","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-05","75","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-06","79","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-07","81","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-08","82","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-09","83","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-10","80","58"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-11","72","59"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-12","73","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-13","64","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-14","67","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-15","62","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-16","67","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-17","79","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-18","78","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-19","72","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-20","75","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-21","72","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-22","65","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-23","65","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-24","67","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-25","69","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-26","71","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-27","65","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-28","59","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-29","63","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-06-30","59","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-01","60","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-02","60","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-03","67","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-04","69","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-05","75","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-06","86","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-07","70","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-08","64","61"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-09","64","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-10","67","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-11","71","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-12","69","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-13","61","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-14","62","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-15","64","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-16","70","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-17","71","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-18","63","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-19","62","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-20","61","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-21","64","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-22","68","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-23","63","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-24","62","58"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-25","65","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-26","67","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-27","65","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-28","68","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-29","69","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-30","69","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-07-31","73","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-01","78","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-02","80","55"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-03","77","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-04","76","59"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-05","71","58"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-06","68","59"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-07","69","58"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-08","69","55"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-09","67","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-10","69","58"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-11","69","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-12","73","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-13","66","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-14","65","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-15","60","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-16","60","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-17","61","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-18","60","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-19","60","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-20","63","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-21","65","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-22","67","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-23","66","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-24","67","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-25","70","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-26","74","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-27","72","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-28","72","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-29","74","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-30","69","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-08-31","63","56"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-01","63","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-02","62","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-03","67","53"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-04","66","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-05","67","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-06","72","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-07","64","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-08","61","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-09","60","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-10","62","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-11","57","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-12","59","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-13","60","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-14","59","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-15","61","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-16","64","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-17","65","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-18","68","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-19","73","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-20","67","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-21","64","55"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-22","68","55"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-23","72","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-24","71","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-25","68","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-26","68","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-27","76","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-28","64","54"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-29","62","57"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-09-30","62","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-01","56","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-02","60","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-03","63","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-04","60","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-05","56","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-06","55","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-07","58","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-08","58","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-09","58","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-10","65","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-11","62","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-12","63","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-13","58","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-14","56","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-15","59","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-16","62","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-17","59","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-18","56","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-19","47","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-20","47","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-21","53","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-22","53","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-23","57","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-24","56","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-25","54","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-26","56","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-27","58","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-28","59","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-29","61","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-30","60","51"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-10-31","58","52"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-01","60","50"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-02","55","48"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-03","54","49"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-04","53","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-05","50","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-06","47","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-07","53","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-08","51","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-09","55","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-10","54","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-11","47","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-12","46","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-13","42","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-14","43","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-15","48","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-16","51","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-17","50","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-18","47","37"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-19","49","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-20","48","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-21","48","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-22","56","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-23","56","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-24","57","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-25","52","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-26","52","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-27","55","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-28","49","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-29","47","44"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-11-30","47","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-01","54","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-02","52","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-03","52","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-04","50","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-05","47","43"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-06","45","42"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-07","43","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-08","43","33"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-09","44","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-10","46","31"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-11","50","38"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-12","45","39"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-13","42","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-14","44","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-15","48","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-16","49","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-17","52","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-18","50","41"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-19","47","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-20","40","40"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-21","40","36"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-22","43","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-23","35","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-24","36","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-25","35","28"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-26","34","30"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-27","38","26"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-28","38","29"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-29","37","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-30","35","34"
"UK000000000","CET CENTRAL ENGLAND, UK","1970-12-31","36","28"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-01","36","25"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-02","31","24"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-03","31","22"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-04","33","21"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-05","51","22"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-06","51","27"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-07","53","32"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-08","54","46"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-09","55","47"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-10","42","45"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-11","44","35"
"UK000000000","CET CENTRAL ENGLAND, UK","1971-01-12","45","33"
